
,,,,,,,Even Strength,Even Strength,Even Strength,Even Strength,,Power Play,Power Play,Power Play,Power Play,,Short Handed,Short Handed,Short Handed,Short Handed
Rk,Player,Tm,Pos,Shift,GP,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60
867,Victor Hedman\hedmavi01,TBL,D,0:48,70,,17:20,1.0,3.7,2.8,,3:18,0.8,11.6,0.3,,2:08,4.5,2.4,5.3
868,Victor Mete\metevi01,MTL,D,0:47,71,,16:34,-3.3,2.8,2.0,,0:18,-13.7,2.7,0.0,,0:53,-0.5,0.9,4.7
869,Victor Olofsson\olofsvi01,BUF,RW,0:55,6,,16:05,7.5,2.5,1.9,,1:52,-8.3,10.7,0.0,,0:03,,0.0,0.0
870,Victor Rask\raskvi01,TOT,C,0:39,49,,10:32,-6.0,1.6,1.8,,1:31,-5.9,5.0,2.5,,0:02,14.7,0.0,0.0
871,Viktor Arvidsson\arvidvi01,NSH,LW,0:49,58,,14:57,4.7,4.0,3.3,,2:54,5.6,5.3,0.7,,1:16,6.9,2.4,4.0
872,Vince Dunn\dunnvi02,STL,D,0:40,78,,15:18,4.9,2.9,2.1,,2:06,4.4,7.3,0.4,,0:06,17.4,0.0,4.5
873,Vincent Trocheck\trochvi01,FLA,C,0:47,55,,15:34,4.4,2.7,3.0,,2:27,1.4,9.0,2.2,,1:38,2.5,0.7,9.3
874,Vinni Lettieri\lettivi01,NYR,C,0:51,27,,9:24,-4.0,0.9,2.4,,0:33,-2.4,7.9,0.0,,0:10,15.6,0.0,12.5
875,Vinnie Hinostroza\hinosvi01,ARI,C,0:47,72,,13:47,3.6,2.4,2.5,,1:18,-1.4,4.4,1.9,,0:09,-17.7,0.0,10.0
876,Vitaly Abramov\abramvi01,OTT,RW,0:46,1,,13:01,-1.8,0.0,9.2,,0:51,-60.0,0.0,70.6,,0:00,,,
877,Vladimir Sobotka\sobotvl01,BUF,C,0:50,69,,12:08,-6.9,1.6,3.2,,0:09,11.4,0.0,0.0,,1:53,0.7,0.9,6.0
878,Vladimir Tarasenko\tarasvl01,STL,RW,1:03,76,,15:25,4.6,3.2,2.7,,2:54,0.5,8.2,0.8,,0:03,-13.8,0.0,0.0
879,Vladislav Kamenev\kamenvl01,COL,LW,0:42,23,,7:21,-6.1,1.8,2.8,,0:59,6.4,10.7,0.0,,0:40,4.4,3.8,11.5
880,Vladislav Namestnikov\namesvl01,NYR,C,0:40,78,,12:45,1.5,2.2,2.8,,1:23,0.3,8.3,1.1,,1:38,1.2,2.3,7.0
881,Wade Megan\meganwa01,DET,C,0:49,11,,7:43,0.1,1.4,4.3,,0:00,,,,,0:09,24.2,0.0,30.5
882,Warren Foegele\foegewa01,CAR,LW,0:36,77,,11:05,-1.3,1.8,2.9,,0:06,2.9,0.0,0.0,,1:17,6.9,0.0,9.1
883,Wayne Simmonds\simmowa01,TOT,RW,0:58,79,,12:54,-1.2,2.4,3.5,,2:45,4.0,4.8,1.6,,0:00,,0.0,0.0
884,Will Butcher\butchwi01,NJD,D,1:00,78,,16:22,4.9,2.7,3.3,,2:46,-0.1,6.8,1.4,,0:07,-5.9,0.0,3.3
885,William Borgen\borgewi01,BUF,D,0:42,4,,15:48,-0.3,0.0,4.7,,0:00,,,,,0:44,-9.1,0.0,0.0
886,William Carrier\carriwi01,VEG,LW,0:41,54,,9:52,2.3,1.6,2.0,,0:03,11.7,0.0,0.0,,0:00,,0.0,0.0
887,William Karlsson\karlswi01,VEG,C,0:50,82,,14:53,-0.9,3.0,3.2,,2:25,-0.9,5.8,0.0,,1:31,12.5,1.9,4.8
888,William Nylander\nylanwi01,TOR,C,0:42,54,,13:36,5.2,2.7,2.7,,1:51,-7.6,6.0,2.4,,0:02,-16.3,0.0,37.5
889,Xavier Ouellet\ouellxa01,MTL,D,0:43,19,,15:35,2.5,1.6,2.2,,0:04,-55.1,0.0,0.0,,1:20,-3.0,0.0,9.4
890,Yanni Gourde\gourdya01,TBL,C,0:52,80,,12:40,1.1,3.3,2.9,,1:24,-2.4,9.9,0.0,,1:44,-0.5,0.9,5.6
891,Yannick Weber\weberya01,NSH,D,0:48,62,,11:29,-0.5,2.4,1.9,,0:04,-35.6,0.0,12.9,,0:20,12.6,2.7,8.2
892,Zac Dalpe\dalpeza01,CBJ,RW,0:33,1,,9:01,-11.8,6.7,0.0,,0:00,,,,,0:00,,,
893,Zac Rinaldo\rinalza01,NSH,C,0:35,23,,7:07,-8.6,1.5,1.1,,0:00,,0.0,0.0,,0:00,,,
894,Zach Aston-Reese\astonza01,PIT,C,0:47,43,,11:38,-2.3,2.9,1.7,,0:06,-18.5,0.0,0.0,,1:54,-6.0,1.5,6.7
895,Zach Bogosian\bogosza01,BUF,D,0:45,65,,18:37,-1.3,2.6,3.0,,0:15,-6.7,3.9,0.0,,2:45,-5.9,0.7,6.7
896,Zach Hyman\hymanza01,TOR,C,0:39,71,,14:45,1.6,4.0,3.1,,0:15,-3.8,5.0,0.0,,2:16,-5.6,0.4,7.8
897,Zach Parise\parisza01,MIN,LW,0:50,74,,14:35,0.6,3.2,3.3,,2:54,0.9,6.7,0.5,,1:10,1.2,1.4,8.4
898,Zach Sanford\sanfoza01,STL,LW,0:44,60,,11:51,-0.4,2.5,1.8,,0:10,-10.1,5.9,5.9,,0:32,-3.0,0.0,3.7
899,Zach Trotman\trotmza01,PIT,D,0:37,13,,13:25,-4.1,2.4,1.0,,1:13,-2.7,3.7,0.0,,0:36,-0.8,0.0,7.6
900,Zach Werenski\werenza01,CBJ,D,0:53,82,,19:09,1.4,2.9,3.3,,2:27,2.0,5.9,0.6,,1:17,9.5,0.6,7.4
901,Zachary Senyshyn\senysza01,BOS,RW,0:42,2,,11:14,-5.1,2.7,2.7,,0:00,,,,,0:21,-25.0,0.0,85.7
902,Zack Kassian\kassiza01,EDM,RW,0:51,79,,13:28,0.4,2.9,3.4,,0:05,6.1,0.0,0.0,,1:14,-2.1,1.2,7.9
903,Zack MacEwen\macewza01,VAN,C,0:25,4,,6:28,-2.0,2.3,11.6,,0:40,12.5,0.0,0.0,,0:02,,,
904,Zack Smith\smithza01,OTT,C,0:46,70,,14:25,-0.8,2.1,2.7,,0:06,-22.3,0.0,0.0,,1:49,0.1,1.4,6.6
905,Zdeno Chara\charazd01,BOS,D,0:59,62,,17:56,1.3,3.2,2.2,,0:04,17.8,36.4,0.0,,3:02,-1.3,1.0,9.6
906,Zemgus Girgensons\girgeze01,BUF,C,0:41,72,,11:07,-1.5,1.9,2.8,,0:04,-4.8,0.0,0.0,,2:23,-7.1,0.0,6.2
